bc,dealerId,date,metric,flagAnomaly,forecast,isAnomalyValue,lowerBound,severityScore,upperBound,value,zScore
cbc,cbc,1/26/2017 0:00,bouncerate,0,42.43,,37.48,0,47.38,41.82,-0.25
cbc,cbc,1/26/2017 0:00,event1,0,541,,417,0,664,538,-0.05
cbc,cbc,1/26/2017 0:00,event2,0,"23,846.00",,"18,621.00",0,"29,072.00","23,871.00",0.01
cbc,cbc,1/26/2017 0:00,pageviews,0,"230,663.00",,"186,913.00",0,"274,413.00","236,747.00",0.28
cbc,cbc,1/26/2017 0:00,ppv,0,4.24,,3.85,0,4.62,4.11,-0.68
cbc,cbc,1/26/2017 0:00,sni,0,"20,900.00",,"17,078.00",0,"24,721.00","21,982.00",0.57
cbc,cbc,1/26/2017 0:00,uniquevisitors,0,"47,302.00",,"39,141.00",0,"55,463.00","49,067.00",0.43
cbc,cbc,1/26/2017 0:00,vdp,0,"13,444.00",,"7,256.00",0,"19,633.00","13,773.00",0.11
cbc,cbc,1/26/2017 0:00,visits,0,"54,043.00",,"44,757.00",0,"63,329.00","57,592.00",0.76
cbc,cbc,1/27/2017 0:00,bouncerate,0,44.62,,39.48,1,49.76,40.7,-1.52
cbc,cbc,1/27/2017 0:00,event1,0,488,,367,1,610,592,1.7
cbc,cbc,1/27/2017 0:00,event2,0,"27,246.00",,"21,351.00",1,"33,142.00","24,043.00",-1.09
cbc,cbc,1/27/2017 0:00,pageviews,0,"242,381.00",,"196,944.00",0,"287,819.00","250,512.00",0.36
cbc,cbc,1/27/2017 0:00,ppv,0,3.91,,3.53,1,4.29,4.14,1.2
cbc,cbc,1/27/2017 0:00,sni,0,"22,098.00",,"18,093.00",0,"26,104.00","23,559.00",0.73
cbc,cbc,1/27/2017 0:00,uniquevisitors,0,"52,946.00",,"44,869.00",0,"61,023.00","51,358.00",-0.39
cbc,cbc,1/27/2017 0:00,vdp,0,"13,413.00",,"7,301.00",0,"19,524.00","14,730.00",0.43
cbc,cbc,1/27/2017 0:00,visits,0,"61,839.00",,"51,272.00",0,"72,406.00","60,548.00",-0.24
cbc,cbc,1/28/2017 0:00,bouncerate,0,41.29,,36.46,0,46.12,39.47,-0.75
cbc,cbc,1/28/2017 0:00,event1,0,520,,396,0,645,509,-0.18
cbc,cbc,1/28/2017 0:00,event2,0,"21,349.00",,"16,722.00",0,"25,976.00","23,142.00",0.78
cbc,cbc,1/28/2017 0:00,pageviews,0,"228,763.00",,"186,339.00",0,"271,186.00","245,519.00",0.79
cbc,cbc,1/28/2017 0:00,ppv,0,4.19,,3.81,0,4.57,4.25,0.3
cbc,cbc,1/28/2017 0:00,sni,0,"24,057.00",,"19,722.00",0,"28,392.00","22,456.00",-0.74
cbc,cbc,1/28/2017 0:00,uniquevisitors,0,"46,559.00",,"38,566.00",0,"54,552.00","48,476.00",0.48
cbc,cbc,1/28/2017 0:00,vdp,0,"13,466.00",,"7,416.00",0,"19,516.00","15,001.00",0.51
cbc,cbc,1/28/2017 0:00,visits,0,"54,445.00",,"45,249.00",0,"63,641.00","57,799.00",0.73
cbc,cbc,1/29/2017 0:00,bouncerate,0,39.14,,34.59,0,43.69,39.71,0.25
cbc,cbc,1/29/2017 0:00,event1,0,405,,282,1,528,490,1.38
cbc,cbc,1/29/2017 0:00,event2,0,"18,578.00",,"14,572.00",1,"22,584.00","20,870.00",1.14
cbc,cbc,1/29/2017 0:00,pageviews,0,"213,094.00",,"173,765.00",0,"252,423.00","226,142.00",0.66
cbc,cbc,1/29/2017 0:00,ppv,0,4.37,,4,0,4.75,4.4,0.16
cbc,cbc,1/29/2017 0:00,sni,0,"18,625.00",,"15,288.00",1,"21,962.00","20,571.00",1.17
cbc,cbc,1/29/2017 0:00,uniquevisitors,0,"39,589.00",,"31,670.00",1,"47,507.00","43,921.00",1.09
cbc,cbc,1/29/2017 0:00,vdp,0,"13,539.00",,"7,543.00",0,"19,534.00","14,361.00",0.27
cbc,cbc,1/29/2017 0:00,visits,0,"47,643.00",,"39,642.00",0,"55,643.00","51,390.00",0.94
cbc,cbc,1/30/2017 0:00,bouncerate,0,38.2,,33.8,1,42.6,40.52,1.05
cbc,cbc,1/30/2017 0:00,event1,0,701,,577,0,825,654,-0.76
cbc,cbc,1/30/2017 0:00,event2,0,"22,776.00",,"17,850.00",0,"27,702.00","24,162.00",0.56
cbc,cbc,1/30/2017 0:00,pageviews,0,"274,000.00",,"223,771.00",1,"324,230.00","243,393.00",-1.22
cbc,cbc,1/30/2017 0:00,ppv,0,4.39,,4.01,0,4.76,4.22,-0.92
cbc,cbc,1/30/2017 0:00,sni,0,"24,180.00",,"19,833.00",1,"28,528.00","20,925.00",-1.5
cbc,cbc,1/30/2017 0:00,uniquevisitors,0,"50,424.00",,"42,492.00",0,"58,356.00","48,897.00",-0.39
cbc,cbc,1/30/2017 0:00,vdp,0,"13,550.00",,"7,619.00",0,"19,480.00","14,418.00",0.29
cbc,cbc,1/30/2017 0:00,visits,0,"63,376.00",,"52,753.00",1,"73,998.00","57,684.00",-1.07
cbc,cbc,1/31/2017 0:00,bouncerate,0,41.34,,36.58,0,46.1,40.58,-0.32
cbc,cbc,1/31/2017 0:00,event1,0,666,,543,1,790,555,-1.79
cbc,cbc,1/31/2017 0:00,event2,0,"23,156.00",,"18,188.00",1,"28,125.00","26,825.00",1.48
cbc,cbc,1/31/2017 0:00,pageviews,0,"240,714.00",,"196,374.00",0,"285,055.00","250,963.00",0.46
cbc,cbc,1/31/2017 0:00,ppv,0,4.11,,3.74,0,4.49,4.03,-0.43
cbc,cbc,1/31/2017 0:00,sni,0,"21,138.00",,"17,288.00",0,"24,988.00","21,689.00",0.29
cbc,cbc,1/31/2017 0:00,uniquevisitors,0,"51,095.00",,"43,240.00",0,"58,949.00","53,344.00",0.57
cbc,cbc,1/31/2017 0:00,vdp,0,"13,565.00",,"7,697.00",1,"19,434.00","16,573.00",1.03
cbc,cbc,1/31/2017 0:00,visits,0,"58,390.00",,"48,592.00",0,"68,189.00","62,296.00",0.8
cbc,cbc,2/1/2017 0:00,bouncerate,0,39.16,,35.09,1,43.23,42.32,1.56
cbc,cbc,2/1/2017 0:00,event1,0,571,,485,0,656,570,-0.02
cbc,cbc,2/1/2017 0:00,event2,0,"28,498.00",,"24,442.00",0,"32,555.00","26,967.00",-0.75
cbc,cbc,2/1/2017 0:00,pageviews,0,"248,575.00",,"225,850.00",0,"271,301.00","240,993.00",-0.67
cbc,cbc,2/1/2017 0:00,ppv,0,4.04,,3.78,0,4.29,4.02,-0.15
cbc,cbc,2/1/2017 0:00,sni,0,"20,646.00",,"18,041.00",0,"23,250.00","20,979.00",0.26
cbc,cbc,2/1/2017 0:00,uniquevisitors,0,"52,753.00",,"48,013.00",0,"57,492.00","51,309.00",-0.61
cbc,cbc,2/1/2017 0:00,vdp,0,"15,303.00",,"13,112.00",0,"17,495.00","14,641.00",-0.6
cbc,cbc,2/1/2017 0:00,visits,0,"62,143.00",,"56,968.00",0,"67,318.00","59,932.00",-0.85
cbc,cbc,2/2/2017 0:00,bouncerate,0,40.9,,36.76,1,45.05,44.29,1.64
cbc,cbc,2/2/2017 0:00,event1,1,619,503,535,2,703,503,-2.76
cbc,cbc,2/2/2017 0:00,event2,0,"25,961.00",,"22,289.00",0,"29,633.00","25,698.00",-0.14
cbc,cbc,2/2/2017 0:00,pageviews,0,"243,450.00",,"220,906.00",0,"265,994.00","245,182.00",0.15
cbc,cbc,2/2/2017 0:00,ppv,0,4.21,,3.96,0,4.46,4.15,-0.44
cbc,cbc,2/2/2017 0:00,sni,0,"21,130.00",,"18,560.00",0,"23,700.00","20,988.00",-0.11
cbc,cbc,2/2/2017 0:00,uniquevisitors,0,"49,989.00",,"45,292.00",0,"54,686.00","51,009.00",0.43
cbc,cbc,2/2/2017 0:00,vdp,0,"15,507.00",,"13,335.00",0,"17,679.00","15,647.00",0.13
cbc,cbc,2/2/2017 0:00,visits,0,"58,295.00",,"53,142.00",0,"63,449.00","59,017.00",0.28
cbc,cbc,2/3/2017 0:00,bouncerate,0,44.19,,39.96,0,48.42,44.01,-0.09
cbc,cbc,2/3/2017 0:00,event1,0,587,,499,0,674,589,0.05
cbc,cbc,2/3/2017 0:00,event2,0,"25,756.00",,"22,161.00",1,"29,350.00","28,103.00",1.31
cbc,cbc,2/3/2017 0:00,pageviews,0,"249,063.00",,"226,819.00",0,"271,308.00","253,522.00",0.4
cbc,cbc,2/3/2017 0:00,ppv,0,4.08,,3.83,0,4.33,4.1,0.17
cbc,cbc,2/3/2017 0:00,sni,0,"21,864.00",,"19,328.00",0,"24,399.00","21,257.00",-0.48
cbc,cbc,2/3/2017 0:00,uniquevisitors,0,"53,321.00",,"48,676.00",0,"57,967.00","53,082.00",-0.1
cbc,cbc,2/3/2017 0:00,vdp,0,"15,862.00",,"13,719.00",1,"18,004.00","17,319.00",1.36
cbc,cbc,2/3/2017 0:00,visits,0,"61,791.00",,"56,702.00",0,"66,879.00","61,810.00",0.01
cbc,cbc,2/4/2017 0:00,bouncerate,0,42.99,,38.81,1,47.16,40.02,-1.42
cbc,cbc,2/4/2017 0:00,event1,0,536,,449,0,622,566,0.7
cbc,cbc,2/4/2017 0:00,event2,0,"26,867.00",,"23,086.00",0,"30,647.00","25,218.00",-0.87
cbc,cbc,2/4/2017 0:00,pageviews,0,"252,605.00",,"230,609.00",0,"274,600.00","252,640.00",0
cbc,cbc,2/4/2017 0:00,ppv,0,4.19,,3.95,1,4.44,4.38,1.55
